Date : 2025-11-09 10:18:39
Directory : e:\Code\java\account_book_app\accountbook
Total : 233 files,  11120 codes, 1827 comments, 1507 blanks, all 14454 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Java            |        219 |     10,906 |      1,812 |      1,465 |     14,183 |
| Markdown        |         11 |        166 |          0 |         36 |        202 |
| XML             |          1 |         40 |          7 |          6 |         53 |
| Java Properties |          2 |          8 |          8 |          0 |         16 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| target\classes\com\accountbook\proxy\request\bill                                                                                           |          4 |         73 |         14 |          0 |         87 |
| target\classes\com\accountbook\proxy\request\budget                                                                                         |          4 |         81 |          4 |          0 |         85 |
| target\classes\com\accountbook\proxy\request\category                                                                                       |          4 |         78 |          0 |          0 |         78 |
| target\classes\com\accountbook\proxy\request\specific_type                                                                                  |          4 |         82 |          3 |          0 |         85 |
| target\classes\com\accountbook\proxy\response                                                                                               |         13 |        333 |          0 |         10 |        343 |
| target\classes\com\accountbook\proxy\response (Files)                                                                                       |          1 |          2 |          0 |          0 |          2 |
| target\classes\com\accountbook\proxy\response\bill                                                                                          |          3 |         80 |          0 |          2 |         82 |
| target\classes\com\accountbook\proxy\response\budget                                                                                        |          3 |         79 |          0 |          2 |         81 |
| target\classes\com\accountbook\proxy\response\category                                                                                      |          3 |         85 |          0 |          3 |         88 |
| target\classes\com\accountbook\proxy\response\specific_type                                                                                 |          3 |         87 |          0 |          3 |         90 |
| target\test-classes                                                                                                                         |          6 |        447 |          0 |          0 |        447 |
| target\test-classes\com                                                                                                                     |          6 |        447 |          0 |          0 |        447 |
| target\test-classes\com\accountbook                                                                                                         |          6 |        447 |          0 |          0 |        447 |
| target\test-classes\com\accountbook\db                                                                                                      |          2 |        129 |          0 |          0 |        129 |
| target\test-classes\com\accountbook\helper                                                                                                  |          4 |        318 |          0 |          0 |        318 |
+---------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                                                    | language        | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| e:\Code\java\account_book_app\accountbook\README.md                                                                                         | Markdown        |        142 |          0 |         34 |        176 |
| e:\Code\java\account_book_app\accountbook\pom.xml                                                                                           | XML             |         40 |          7 |          6 |         53 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\Application.java                                                    | Java            |         21 |          3 |          4 |         28 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\common\exception\BusinessServiceException.java              | Java            |          7 |          1 |          2 |         10 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\common\util\BillConvertUtils.java                           | Java            |        160 |         71 |         22 |        253 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\common\util\BudgetConvertUtils.java                         | Java            |        135 |         19 |         19 |        173 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\common\util\CategoryConvertUtils.java                       | Java            |         84 |         13 |         14 |        111 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\common\util\NameConvertUtils.java                           | Java            |         19 |          3 |          2 |         24 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\common\util\SpecificTypeConvertUtils.java                   | Java            |         92 |         14 |         15 |        121 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\common\util\TimeUtils.java                                  | Java            |         24 |         17 |          7 |         48 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\factory\AccountBookServiceFactory.java                      | Java            |        124 |          4 |         22 |        150 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\factory\BusinessFactory.java                                | Java            |         52 |         23 |         22 |         97 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\service\BusinessService.java                                | Java            |          4 |          1 |          4 |          9 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\service\impl\bill\AddBillService.java                       | Java            |         24 |          2 |          8 |         34 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\service\impl\bill\ChangeBillService.java                    | Java            |         28 |          0 |          6 |         34 |
| e:\Code\java\account_book_app\accountbook\src\main\java\com\accountbook\backend\service\impl\bill\DeleteBillService.java                    | Java            |         24 |          0 |          4 |         28 |
